,Country
361,Latvia
362,Argentina
363,Brazil
364,UK
365,India
366,Peru
367,USA
368,France
369,Germany
370,UK
371,Poland
372,USA
373,USA
374,Italy
375,Brazil
376,USA
377,Algeria
378,Italy
379,Sweden
380,Italy
381,Canada
382,Venezuela
383,USA
384,USA
385,USA
386,USA
387,USA
388,USA
389,USA
390,USA
391,USA
392,USA
393,Malaysia
394,Finland
395,USA
396,USA
397,USA
398,USA
399,USA
400,Zimbabwe
401,USA
402,Greece
403,Georgia
404,Brazil
405,Belgium
406,USA
407,Canada
408,Slovakia
409,Argentina
410,Mexico
411,USA
412,Czech Republic
413,Belgium
414,Bulgaria
415,Germany
416,USA
417,Malta
418,India
419,UK
420,USA
421,Romania
422,Germany
423,USA
424,UK
425,Germany
426,Germany
427,Germany
428,USA
429,Poland
430,USA
431,Russia
432,Brazil
433,USA
434,Uruguay
435,India
436,UK
437,Denmark
438,Belgium
439,Nigeria
440,USA
441,USA
442,Germany
443,Israel
444,USA
445,Netherlands
446,Lithuania
447,Bulgaria
448,Colombia
449,Germany
450,Spain
451,USA
452,Czech Republic
453,UK
454,France
455,USA
456,Ukraine
457,Spain
458,Germany
459,Germany
460,Portugal
461,Ukraine
462,Egypt
463,UK
464,Italy
465,India
466,Spain
467,USA
468,USA
469,USA
470,Switzerland
471,France
472,Poland
473,Germany
474,USA
475,Mexico
476,India
477,Russia
478,Turkey
479,Ireland
480,USA
481,Germany
482,Poland
483,Austria
484,Albania
485,USA
486,USA
487,USA
488,Ukraine
489,USA
490,India
491,USA
492,USA
493,Turkey
494,Jordan
495,Brazil
496,USA
497,Germany
498,Egypt
499,India
500,Ukraine
501,Pakistan
502,Germany
503,Netherlands
504,USA
505,USA
506,USA
507,Israel
508,Ukraine
509,Germany
510,Italy
511,Afghanistan
512,Brazil
513,Canada
514,Germany
515,USA
516,Brazil
517,Canada
518,USA
519,Mexico
520,Argentina
521,USA
522,Slovenia
523,UK
524,Pakistan
525,Peru
526,USA
527,Slovenia
528,Austria
529,USA
530,Netherlands
531,USA
532,Palestine
533,Ecuador
534,Germany
535,Bangladesh
536,Turkey
537,Czech Republic
538,USA
539,Spain
540,USA
541,Paraguay
542,Ukraine
543,India
544,Italy
545,Paraguay
546,Italy
547,Germany
548,Brazil
549,Canada
550,Lithuania
551,Slovakia
552,Finland
553,Canada
554,USA
555,Poland
556,Brazil
557,France
558,Germany
559,USA
560,USA
561,Ukraine
562,UK
563,Ethiopia
564,USA
565,New Zealand
566,Denmark
567,Ghana
568,Netherlands
569,Greece
570,Portugal
571,USA
572,USA
573,France
574,Belgium
575,Guatemala
576,USA
577,Canada
578,Brazil
579,Germany
580,USA
581,France
582,Slovakia
583,Ukraine
584,Brazil
585,Brazil
586,USA
587,Brazil
588,Italy
589,France
590,Belgium
591,Italy
592,Ukraine
593,UK
594,USA
595,UK
596,Germany
597,Brazil
598,Germany
599,Switzerland
600,Netherlands
601,Denmark
602,USA
603,Portugal
604,Germany
605,Bosina
606,Portugal
607,Ukraine
608,USA
609,Netherlands
610,USA
611,Germany
612,Denmark
613,USA
614,Germany
615,Czech Republic
616,El Salvador
617,Israel
618,USA
619,Austria
620,Poland
621,Poland
622,Norway
623,UK
624,UK
625,Sweden
626,USA
627,Romania
628,France
629,Brazil
630,USA
631,Ukraine
632,UK
633,Poland
634,Germany
635,Ukraine
636,Canada
637,USA
638,USA
639,Argentina
640,USA
641,USA
642,Costa Rica
643,Japan
644,Greece
645,UK
646,Sweden
647,UK
648,Australia
649,Argentina
650,Australia
651,Greece
652,Ukraine
653,USA
654,Canada
655,Greece
656,Kenya
657,USA
658,Ireland
659,Switzerland
660,UK
661,Argentina
662,New Zealand
663,Netherlands
664,Ukraine
665,Israel
666,Germany
667,Sweden
668,USA
669,France
670,UK
671,Israel
672,Czech Republic
673,UK
674,USA
675,Egypt
676,USA
677,Germany
678,Brazil
679,USA
680,Ireland
681,USA
682,Canada
683,USA
684,USA
685,Germany
686,Armenia
687,UK
688,USA
689,USA
690,Nigeria
691,Russia
692,France
693,Poland
694,Australia
695,USA
696,USA
697,USA
698,Poland
699,Canada
700,USA
701,Poland
702,Estonia
703,USA
704,Germany
705,Bosina
706,Kenya
707,Nigeria
708,Spain
709,USA
710,USA
711,USA
712,USA
713,USA
714,USA
715,USA
716,USA
717,Portugal
718,Germany
719,Ireland
720,USA
721,USA
722,Ukraine
723,Czech Republic
724,Germany
725,Denmark
726,Switzerland
727,Canada
728,Mexico
729,USA
730,Nicaragua
731,UK
732,Argentina
733,Mexico
734,USA
735,Philippines
736,Spain
737,Poland
738,USA
739,USA
740,USA
741,Spain
742,USA
743,Ukraine
744,Ecuador
745,USA
746,Brazil
747,USA
748,Chile
749,USA
750,USA
751,Switzerland
752,USA
753,France
754,USA
755,Netherlands
756,Iceland
757,Peru
758,UK
759,USA
760,Czech Republic
761,UK
762,Spain
763,Ukraine
764,Australia
765,Turkey
766,Canada
767,Indonesia
768,New Zealand
769,Canada
770,Peru
771,UK
772,USA
773,USA
774,UK
775,USA
776,Portugal
777,Russia
778,USA
779,Germany
780,India
781,UK
782,Germany
783,UK
784,Germany
785,Honduras
786,USA
787,USA
788,USA
789,USA
790,Australia
791,Hong Kong (S.A.R.)
792,Ukraine
793,USA
794,Denmark
795,Denmark
796,USA
797,USA
798,USA
799,Germany
800,Germany
801,USA
802,New Zealand
803,Argentina
804,Philippines
805,Australia
806,USA
807,Australia
808,USA
809,South Korea
810,Switzerland
811,Canada
812,Australia
813,Australia
814,Australia
815,Iceland
816,USA
817,Japan
818,Canada
819,Australia
820,Uruguay
821,UAE
822,Brazil
823,USA
824,USA
825,USA
826,USA
827,USA
828,Brazil
829,USA
830,USA
831,UK
832,USA
833,Japan
834,Australia
835,USA
836,France
837,Japan
838,Algeria
839,Pakistan
840,USA
841,USA
842,USA
843,UAE
844,USA
845,Germany
846,Brazil
847,Canada
848,Australia
849,Colombia
850,Brazil
851,USA
852,USA
853,Thailand
854,Uruguay
855,USA
856,USA
857,USA
858,Ukraine
859,Viet Nam
860,UK
861,UK
862,USA
863,India
864,USA
865,USA
866,Czech Republic
867,Australia
868,Australia
869,Nigeria
870,India
871,USA
872,USA
873,Algeria
874,New Zealand
875,Brazil
876,Argentina
877,Canada
878,Kenya
879,USA
880,Australia
881,USA
882,Australia
883,Sri Lanka
884,USA
885,USA
886,Netherlands
887,Brazil
888,Ukraine
889,USA
890,USA
891,Malaysia
892,USA
893,USA
894,USA
895,China
896,Australia
897,Brazil
898,China
899,Estonia
900,Australia
901,China
902,USA
903,Nicaragua
904,Australia
905,Pakistan
906,Switzerland
907,USA
908,China
909,UK
910,USA
911,USA
912,India
913,India
914,Australia
915,Australia
916,USA
917,South Korea
918,Mexico
919,USA
920,Canada
921,Mexico
922,Australia
923,Germany
924,Mongolia
925,USA
926,USA
927,New Zealand
928,Egypt
929,Singapore
930,Australia
931,Indonesia
932,Brazil
933,Indonesia
934,USA
935,Pakistan
936,USA
937,Malaysia
938,Cambodia
939,Australia
940,USA
941,India
942,South Korea
943,Germany
944,USA
945,USA
946,India
947,USA
948,Viet Nam
949,Egypt
950,South Korea
951,Mexico
952,Germany
953,India
954,Australia
955,USA
956,Viet Nam
957,Belgium
958,Thailand
959,Ukraine
960,Australia
961,Ukraine
962,Australia
963,India
964,France
965,Ukraine
966,Canada
967,Viet Nam
968,Australia
969,India
970,USA
971,India
972,Greece
973,India
974,India
975,Australia
976,Romania
977,Austria
978,Ethiopia
979,Greece
980,Nigeria
981,India
982,India
983,Turkey
984,India
985,India
986,Argentina
987,Iran
988,Spain
989,India
990,Nepal
991,Germany
992,Australia
993,Sweden
994,Pakistan
995,Switzerland
996,UK
997,Poland
998,India
999,China
1000,Bulgaria
1001,Romania
1002,USA
1003,Czech Republic
1004,India
1005,Uzbekistan
1006,India
1007,Japan
1008,Ukraine
1009,Latvia
1010,India
1011,Pakistan
1012,South Korea
1013,New Zealand
1014,Poland
1015,India
1016,Denmark
1017,Greece
1018,Bangladesh
1019,Switzerland
1020,Armenia
1021,India
1022,Australia
1023,Australia
1024,USA
1025,Colombia
1026,Sweden
1027,Switzerland
1028,Austria
1029,Kenya
1030,Canada
1031,Netherlands
1032,Germany
1033,Australia
1034,USA
1035,Switzerland
1036,Italy
1037,Japan
1038,Pakistan
1039,Czech Republic
1040,Sweden
1041,UK
1042,Romania
1043,India
1044,Poland
1045,Slovenia
1046,Germany
1047,Ukraine
1048,USA
1049,India
1050,Sweden
1051,Netherlands
1052,Ukraine
1053,Australia
1054,Denmark
1055,India
1056,India
1057,Austria
1058,Iran
1059,Ukraine
1060,Germany
1061,Ukraine
1062,Ukraine
1063,UK
1064,Poland
1065,India
1066,Ukraine
1067,Italy
1068,Ukraine
1069,Ukraine
1070,UK
1071,UK
1072,Germany
1073,Russia
1074,India
1075,Belgium
1076,Ukraine
1077,Ukraine
1078,Ukraine
1079,India
1080,India
1081,Denmark
1082,Australia
1083,India
1084,Ukraine
1085,Belgium
1086,Taiwan
1087,Italy
1088,Poland
1089,Cambodia
1090,UK
1091,Switzerland
1092,USA
1093,Ukraine
1094,Romania
1095,Russia
1096,Hungary
1097,Ukraine
1098,France
1099,Turkey
1100,Italy
1101,Latvia
1102,Switzerland
1103,Switzerland
1104,France
1105,Germany
1106,Ukraine
1107,Cambodia
1108,Georgia
1109,Turkey
1110,Germany
1111,Bangladesh
1112,India
1113,Israel
1114,Lithuania
1115,Italy
1116,Italy
1117,Nigeria
1118,Montenegro
1119,Russia
1120,Ireland
1121,Slovakia
1122,Denmark
1123,Netherlands
1124,Ukraine
1125,Israel
1126,India
1127,Ukraine
1128,Italy
1129,Ukraine
1130,Hungary
1131,Croatia
1132,Ukraine
1133,India
1134,Germany
1135,Germany
1136,Czech Republic
1137,Ukraine
1138,Ukraine
1139,Australia
1140,Spain
1141,Ukraine
1142,Poland
1143,Indonesia
1144,Germany
1145,China
1146,India
1147,Sweden
1148,Iran
1149,Germany
1150,Netherlands
1151,Austria
1152,Hungary
1153,Spain
1154,Germany
1155,India
1156,Norway
1157,Ukraine
1158,Ukraine
1159,UK
1160,Indonesia
1161,India
1162,Romania
1163,Spain
1164,Germany
1165,Ukraine
1166,Switzerland
1167,Italy
1168,Ukraine
1169,Croatia
1170,India
1171,Sri Lanka
1172,Austria
1173,Italy
1174,Austria
1175,Norway
1176,Lebanon
1177,Netherlands
1178,Slovakia
1179,Ukraine
1180,Italy
1181,Germany
1182,UK
1183,India
1184,Indonesia
1185,Ireland
1186,Egypt
1187,Germany
1188,France
1189,USA
1190,Poland
1191,Estonia
1192,Ukraine
1193,Israel
1194,India
1195,India
1196,Germany
1197,Ukraine
1198,Pakistan
1199,France
1200,Germany
1201,Austria
1202,South Africa
1203,Germany
1204,Slovakia
1205,Belgium
1206,France
1207,Ukraine
1208,Turkey
1209,Poland
1210,Netherlands
1211,Germany
1212,Hungary
1213,Albania
1214,India
1215,Italy
1216,Sweden
1217,Germany
1218,Malaysia
1219,France
1220,Denmark
1221,Belgium
1222,Ukraine
1223,Slovakia
1224,UK
1225,Iran
1226,Benin
1227,Sweden
1228,Ukraine
1229,Netherlands
1230,India
1231,India
1232,Canada
1233,Sri Lanka
1234,Congo
1235,Austria
1236,India
1237,UK
1238,India
1239,Greece
1240,Italy
1241,Poland
1242,USA
1243,South Africa
1244,Iran
1245,Ukraine
1246,Poland
1247,Italy
1248,Switzerland
1249,Serbia
1250,Singapore
1251,Netherlands
1252,Netherlands
1253,Sweden
1254,UK
1255,Switzerland
1256,Serbia
1257,Czech Republic
1258,USA
1259,Germany
1260,Poland
1261,Israel
1262,Belarus
1263,Germany
1264,Ukraine
1265,Finland
1266,Ukraine
1267,Israel
1268,France
1269,Sweden
1270,India
1271,Netherlands
1272,Netherlands
1273,France
1274,Bangladesh
1275,Israel
1276,Ukraine
1277,India
1278,Italy
1279,India
1280,Italy
1281,Hungary
1282,Greece
1283,Bulgaria
1284,Switzerland
1285,Hong Kong (S.A.R.)
1286,Romania
1287,Bangladesh
1288,Ukraine
1289,Netherlands
1290,Italy
1291,Slovenia
1292,Italy
1293,India
1294,Denmark
1295,Denmark
1296,Chile
1297,Turkey
1298,Pakistan
1299,Ukraine
1300,Taiwan
1301,Norway
1302,Poland
1303,Turkey
1304,Germany
1305,Hungary
1306,Poland
1307,Australia
1308,New Zealand
1309,UK
1310,UK
1311,Denmark
1312,UK
1313,Ukraine
1314,Finland
1315,Sweden
1316,Morocco
1317,Italy
1318,Croatia
1319,UK
1320,India
1321,Sweden
1322,Germany
1323,Switzerland
1324,Slovenia
1325,Norway
1326,Germany
1327,Germany
1328,Austria
1329,UK
1330,Russia
1331,Belgium
1332,Germany
1333,Slovenia
1334,Turkey
1335,Switzerland
1336,Poland
1337,Germany
1338,France
1339,Pakistan
1340,USA
1341,Germany
1342,Spain
1343,Netherlands
1344,Switzerland
1345,Netherlands
1346,Switzerland
1347,Germany
1348,Italy
1349,Turkey
1350,Germany
1351,Belgium
1352,UK
1353,Indonesia
1354,Belgium
1355,France
1356,Germany
1357,Ukraine
1358,Belgium
1359,Serbia
1360,Norway
1361,Germany
1362,Spain
1363,Germany
1364,Germany
1365,Austria
1366,Pakistan
1367,Italy
1368,France
1369,Poland
1370,China
1371,Israel
1372,India
1373,Ukraine
1374,Australia
1375,Israel
1376,Algeria
1377,China
1378,Poland
1379,France
1380,UK
1381,UAE
1382,Germany
1383,France
1384,India
1385,Ukraine
1386,Norway
1387,Germany
1388,Spain
1389,Sweden
1390,Serbia
1391,UK
1392,Greece
1393,Ukraine
1394,Nigeria
1395,Bulgaria
1396,Algeria
1397,France
1398,Austria
1399,Ukraine
1400,Slovakia
1401,Egypt
1402,Turkey
1403,Ukraine
1404,Canada
1405,USA
1406,India
1407,Ireland
1408,Germany
1409,Ukraine
1410,Pakistan
1411,Norway
1412,Belgium
1413,Poland
1414,Slovenia
1415,Austria
1416,Pakistan
1417,Nigeria
1418,Netherlands
1419,Ukraine
1420,India
1421,Italy
1422,Sri Lanka
1423,UK
1424,China
1425,South Korea
1426,Poland
1427,Brazil
1428,India
1429,Italy
1430,UK
1431,UK
1432,Ukraine
1433,India
1434,South Africa
1435,Estonia
1436,Ukraine
1437,Croatia
1438,India
1439,UK
1440,Netherlands
1441,Tunisia
1442,India
1443,UK
1444,Bosina
1445,Austria
1446,Turkey
1447,Netherlands
1448,Ukraine
1449,Switzerland
1450,Ukraine
1451,Bangladesh
1452,Denmark
1453,Luxembourg
1454,Finland
1455,Poland
1456,Canada
1457,Romania
1458,Germany
1459,Cyprus
1460,UK
1461,UK
1462,Viet Nam
1463,Hungary
1464,India
1465,Croatia
1466,Brazil
1467,USA
1468,South Africa
1469,Pakistan
1470,Brazil
1471,Germany
1472,UK
1473,Germany
1474,Brazil
1475,Portugal
1476,Poland
1477,Greece
1478,Dominican Republic
1479,Croatia
1480,USA
1481,Czech Republic
1482,Netherlands
1483,Slovakia
1484,UK
1485,Australia
1486,New Zealand
1487,Poland
1488,India
1489,Brazil
1490,Sri Lanka
1491,Estonia
1492,Belgium
1493,UK
1494,India
1495,Turkey
1496,UK
1497,Hungary
1498,Estonia
1499,Turkey
1500,Netherlands
1501,Latvia
1502,USA
1503,India
1504,Serbia
1505,Germany
1506,Austria
1507,Serbia
1508,France
1509,Brazil
1510,Belgium
1511,Portugal
1512,USA
1513,Pakistan
1514,Lithuania
1515,Tajikistan
1516,Netherlands
1517,Armenia
1518,Spain
1519,Germany
1520,UK
1521,Poland
1522,Norway
1523,Germany
1524,Isle of Man
1525,Denmark
1526,Sweden
1527,Belgium
1528,Switzerland
1529,USA
1530,Poland
1531,Austria
1532,Germany
1533,India
1534,Netherlands
1535,Belgium
1536,Germany
1537,Netherlands
1538,Germany
1539,Australia
1540,UK
1541,Slovakia
1542,Singapore
1543,Slovakia
1544,Greece
1545,Pakistan
1546,Switzerland
1547,Ukraine
1548,Romania
1549,UK
1550,India
1551,Pakistan
1552,India
1553,Poland
1554,Australia
1555,Brazil
1556,Mexico
1557,Sweden
1558,Iran
1559,Argentina
1560,Estonia
1561,India
1562,Italy
1563,USA
1564,Ukraine
1565,Portugal
1566,USA
1567,USA
1568,France
1569,Finland
1570,India
1571,USA
1572,Germany
1573,Sweden
1574,China
1575,Germany
1576,Germany
1577,Canada
1578,Germany
1579,Italy
1580,Germany
1581,Finland
1582,Italy
1583,Belgium
1584,Brazil
1585,Germany
1586,Ukraine
1587,India
1588,Netherlands
1589,Latvia
1590,India
1591,Ukraine
1592,Germany
1593,Indonesia
1594,UK
1595,India
1596,Italy
1597,Sweden
1598,Turkey
1599,Slovenia
1600,Spain
1601,India
1602,Norway
1603,Canada
1604,Hungary
1605,Brazil
1606,UK
1607,Argentina
1608,India
1609,Norway
1610,Germany
1611,Ukraine
1612,UK
1613,Germany
1614,Italy
1615,Georgia
1616,Austria
1617,Germany
1618,Italy
1619,India
1620,UAE
1621,Germany
1622,Ukraine
1623,Philippines
1624,India
1625,India
1626,Germany
1627,France
1628,Russia
1629,Canada
1630,USA
1631,Bangladesh
1632,Poland
1633,Japan
1634,Poland
1635,Denmark
1636,USA
1637,Malaysia
1638,Hungary
1639,Italy
1640,Brazil
1641,France
1642,Italy
1643,USA
1644,UK
1645,France
1646,Estonia
1647,UK
1648,Ukraine
1649,UK
1650,Switzerland
1651,Spain
1652,Russia
1653,Denmark
1654,Argentina
1655,Germany
1656,USA
1657,France
1658,Portugal
1659,UK
1660,Ukraine
1661,Norway
1662,Poland
1663,Finland
1664,Sweden
1665,Italy
1666,Czech Republic
1667,Germany
1668,USA
1669,Brazil
1670,Pakistan
1671,Ukraine
1672,UK
1673,Germany
1674,Rwanda
1675,India
1676,USA
1677,Poland
1678,Morocco
1679,France
1680,USA
1681,Serbia
1682,India
1683,India
1684,Brazil
1685,USA
1686,Bangladesh
1687,Spain
1688,Czech Republic
1689,USA
1690,Poland
1691,USA
1692,USA
1693,Czech Republic
1694,Netherlands
1695,Chile
1696,USA
1697,Poland
1698,Italy
1699,USA
1700,India
1701,India
1702,USA
1703,Lebanon
1704,Ukraine
1705,UK
1706,USA
1707,USA
1708,USA
1709,Israel
1710,India
1711,USA
1712,USA
1713,USA
1714,Belgium
1715,USA
1716,USA
1717,India
1718,Sierra Leone
1719,USA
1720,UK
1721,Panama
1722,India
1723,Ukraine
1724,Switzerland
1725,Turkey
1726,Austria
1727,USA
1728,Pakistan
1729,Ukraine
1730,Italy
1731,USA
1732,South Korea
1733,Ecuador
1734,Poland
1735,USA
1736,Canada
1737,Canada
1738,Italy
1739,Germany
1740,Cuba
1741,Italy
1742,Brazil
1743,Lithuania
1744,UK
1745,Brazil
1746,South Africa
1747,USA
1748,Spain
1749,Italy
1750,France
1751,USA
1752,South Africa
1753,UK
1754,Russia
1755,UK
1756,USA
1757,Italy
1758,Mexico
1759,Israel
1760,Brazil
1761,UK
1762,UK
1763,Germany
1764,Spain
1765,USA
1766,Canada
1767,Brazil
1768,Tunisia
1769,Germany
1770,USA
1771,UK
1772,India
1773,India
1774,Brazil
1775,Philippines
1776,USA
1777,Belgium
1778,Czech Republic
1779,UK
1780,USA
1781,Brazil
1782,Canada
1783,UK
1784,Bulgaria
1785,Russia
1786,UK
1787,Bolivia
1788,Netherlands
1789,France
1790,Pakistan
1791,UK
1792,Costa Rica
1793,France
1794,Lithuania
1795,Indonesia
1796,Italy
1797,Canada
1798,India
1799,USA
1800,Belgium
1801,Philippines
1802,Norway
1803,USA
1804,Greece
1805,Canada
1806,Brazil
1807,Argentina
1808,USA
1809,Belarus
1810,Ukraine
1811,Brazil
1812,Italy
1813,Canada
1814,India
1815,Portugal
1816,Colombia
1817,USA
1818,USA
1819,USA
1820,USA
1821,Germany
1822,USA
1823,USA
1824,Ireland
1825,USA
1826,USA
1827,Ukraine
1828,Canada
1829,France
1830,Israel
1831,UK
1832,India
1833,USA
1834,Egypt
1835,Brazil
1836,USA
1837,Poland
1838,Ukraine
1839,Poland
1840,Lithuania
1841,USA
1842,Switzerland
1843,Singapore
1844,Brazil
1845,UK
1846,UK
1847,USA
1848,UK
1849,Nigeria
1850,USA
1851,Poland
1852,Germany
1853,Canada
1854,Spain
1855,Hungary
1856,Sweden
1857,Germany
1858,India
1859,India
1860,Czech Republic
1861,Argentina
1862,USA
1863,India
1864,South Korea
1865,Poland
1866,Denmark
1867,Norway
1868,India
1869,Guatemala
1870,Sri Lanka
1871,France
1872,USA
1873,UAE
1874,Slovakia
1875,Uruguay
1876,Ukraine
1877,USA
1878,Canada
1879,Guatemala
1880,Serbia
1881,USA
1882,Guatemala
1883,USA
1884,UK
1885,UK
1886,Italy
1887,Guatemala
1888,Netherlands
1889,South Korea
1890,USA
1891,Indonesia
1892,India
1893,USA
1894,USA
1895,USA
1896,Poland
1897,Poland
1898,USA
1899,Ukraine
1900,USA
1901,Poland
1902,Denmark
1903,Poland
1904,Canada
1905,Serbia
1906,UK
1907,Russia
1908,Slovenia
1909,USA
1910,Canada
1911,Canada
1912,Italy
1913,South Korea
1914,Colombia
1915,Portugal
1916,USA
1917,Netherlands
1918,Canada
1919,Spain
1920,USA
1921,USA
1922,Belgium
1923,India
1924,USA
1925,India
1926,USA
1927,USA
1928,Germany
1929,Germany
1930,India
1931,Canada
1932,South Africa
1933,USA
1934,Switzerland
1935,Poland
1936,USA
1937,USA
1938,Netherlands
1939,Ukraine
1940,USA
1941,Switzerland
1942,USA
1943,USA
1944,USA
1945,UK
1946,Thailand
1947,Hungary
1948,Germany
1949,Poland
1950,Czech Republic
1951,Brazil
1952,Turkey
1953,India
1954,USA
1955,South Africa
1956,USA
1957,Brazil
1958,France
1959,Canada
1960,Israel
1961,Brazil
1962,Kyrgyzstan
1963,USA
1964,UK
1965,USA
1966,Canada
1967,USA
1968,USA
1969,USA
1970,India
1971,Germany
1972,India
1973,Sri Lanka
1974,Brazil
1975,Germany
1976,Germany
1977,Canada
1978,Russia
1979,USA
1980,USA
1981,USA
1982,USA
1983,Brazil
1984,USA
1985,USA
1986,USA
1987,Brazil
1988,UK
1989,USA
1990,USA
1991,USA
1992,France
1993,USA
1994,Switzerland
1995,Netherlands
1996,USA
1997,Germany
1998,Germany
1999,Spain
2000,Colombia
2001,USA
2002,Germany
2003,Poland
2004,USA
2005,Mexico
2006,Brazil
2007,Hungary
2008,USA
2009,Ukraine
2010,Germany
2011,USA
2012,Italy
2013,USA
2014,USA
2015,Poland
2016,Germany
2017,Germany
2018,USA
2019,Bangladesh
2020,USA
2021,Brazil
2022,India
2023,Mexico
2024,Portugal
2025,Belgium
2026,Bangladesh
2027,Germany
2028,Czech Republic
2029,Netherlands
2030,USA
2031,USA
2032,France
2033,Serbia
2034,Switzerland
2035,Canada
2036,Malaysia
2037,Poland
2038,Syria
2039,Poland
2040,USA
2041,Costa Rica
2042,Spain
2043,Pakistan
2044,Ukraine
2045,Romania
2046,USA
2047,UK
2048,Sweden
2049,Kenya
2050,Ukraine
2051,Canada
2052,Belgium
2053,USA
2054,UK
2055,Turkey
2056,USA
2057,USA
2058,Bangladesh
2059,Italy
2060,France
2061,USA
2062,Lithuania
2063,Germany
2064,Poland
2065,Germany
2066,Italy
2067,Indonesia
2068,Switzerland
2069,USA
2070,Brazil
2071,Turkey
2072,Germany
2073,USA
2074,Sri Lanka
2075,Germany
2076,Zambia
2077,Greece
2078,Italy
2079,USA
2080,Brazil
2081,Austria
2082,USA
